--- FIRST PRODUCT KEYS & VALUES ---
Key: "cann_sku_id" | ValueType: string | Sample: 0027x5rQIDXmLB0SAxqJCqz1
Key: "brand_name" | ValueType: object | Sample: null
Key: "brand_id" | ValueType: object | Sample: null
Key: "url" | ValueType: string | Sample: https://dutchie.com/stores/wellgreens-home/product/plastic-grinder-standard
Key: "image_url" | ValueType: string | Sample: https://s3-us-west-2.amazonaws.com/dutchie-images/218124256055402d95f291f12705005d
Key: "raw_product_name" | ValueType: string | Sample: Plastic Grinder (Standard)
Key: "product_name" | ValueType: string | Sample: Plastic Grinder Standard
Key: "raw_weight_string" | ValueType: object | Sample: null
Key: "display_weight" | ValueType: object | Sample: null
Key: "raw_product_category" | ValueType: string | Sample: Accessories
Key: "category" | ValueType: string | Sample: Other
Key: "raw_subcategory" | ValueType: string | Sample: glassware
Key: "subcategory" | ValueType: string | Sample: Glassware
Key: "product_tags" | ValueType: object | Sample: OBJECT
Key: "percentage_thc" | ValueType: object | Sample: null
Key: "percentage_cbd" | ValueType: object | Sample: null
Key: "mg_thc" | ValueType: object | Sample: null
Key: "mg_cbd" | ValueType: object | Sample: null
Key: "quantity_per_package" | ValueType: object | Sample: null
Key: "medical" | ValueType: boolean | Sample: false
Key: "recreational" | ValueType: boolean | Sample: true
Key: "latest_price" | ValueType: number | Sample: 3.99
Key: "original_price" | ValueType: number | Sample: 3.99
Key: "menu_provider" | ValueType: string | Sample: Dutchie
Key: "is_below_threshold" | ValueType: object | Sample: null
